Year,Kilometers_Driven,Mileage,Engine,Power,Seats,Price,make,model,Transmission,Seats_coupe,Seats_family,Seats_large,Fuel_Diesel,Fuel_Electric,Fuel_LPG,Fuel_Petrol,Fuel_Diesel,Fuel_Electric,Fuel_LPG,Fuel_Petrol,location_Ahmedabad,location_Bangalore,location_Chennai,location_Coimbatore,location_Delhi,location_Hyderabad,location_Jaipur,location_Kochi,location_Kolkata,location_Mumbai,location_Pune,Owner_First,Owner_Fourth & Above,Owner_Second,Owner_Third
2010,72000,26.6,998,58.16,5.0,1.75,Maruti,Wagon R LXI CNG,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2015,41000,19.67,1582,126.2,5.0,12.5,Hyundai,Creta 1.6 CRDi SX Option,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
2011,46000,18.2,1199,88.7,5.0,4.5,Honda,Jazz V,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2012,87000,20.77,1248,88.76,7.0,6.0,Maruti,Ertiga VDI,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2013,40670,15.2,1968,140.8,5.0,17.74,Audi,A4 New 2.0 TDI Multitronic,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2012,75000,21.1,814,55.2,5.0,2.35,Hyundai,EON LPG Era Plus Option,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
2013,86999,23.08,1461,63.1,5.0,3.5,Nissan,Micra Diesel XV,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2016,36000,11.36,2755,171.5,8.0,17.5,Toyota,Innova Crysta 2.8 GX AT 8S,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2013,64430,20.54,1598,103.6,5.0,5.2,Volkswagen,Vento Diesel Comfortline,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
2012,65932,22.3,1248,74.0,5.0,1.95,Tata,Indica Vista Quadrajet LS,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2018,25692,21.56,1462,103.25,5.0,9.95,Maruti,Ciaz Zeta,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2012,60000,16.8,1497,116.3,5.0,4.49,Honda,City 1.5 V AT Sunroof,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2015,64424,25.2,1248,74.0,5.0,5.6,Maruti,Swift VDI BSIV,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2014,72000,12.7,2179,187.7,5.0,27.0,Land,Rover Range Rover 2.2L Pure,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2014,110000,13.5,2477,175.56,7.0,15.0,Mitsubishi,Pajero Sport 4X4,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2016,58950,25.8,1498,98.6,5.0,5.4,Honda,Amaze S i-Dtech,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2017,25000,28.4,1248,74.0,5.0,5.99,Maruti,Swift DDiS VDI,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2014,77469,20.45,1461,83.8,5.0,6.34,Renault,Duster 85PS Diesel RxL Plus,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2014,78500,14.84,2143,167.62,5.0,28.0,Mercedes-Benz,New C-Class C 220 CDI BE Avantgare,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
2014,32982,22.69,1995,190.0,5.0,18.55,BMW,3 Series 320d,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2015,55392,23.65,1248,88.5,5.0,8.25,Maruti,S Cross DDiS 200 Alpha,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
2015,55985,13.53,1984,177.01,5.0,23.5,Audi,A6 2011-2015 35 TFSI Technology,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2010,45807,18.5,1197,80.0,5.0,1.87,Hyundai,i20 1.2 Magna,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2010,33000,14.4,1598,103.6,5.0,2.85,Volkswagen,Vento Petrol Highline AT,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2012,51920,16.8,1497,116.3,5.0,4.25,Honda,City Corporate Edition,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2012,54000,23.08,1461,63.1,5.0,4.25,Nissan,Micra Diesel XV,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
2013,54000,20.92,998,67.1,5.0,2.75,Maruti,Alto K10 2010-2014 VXI,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2018,37430,17.5,1199,88.7,5.0,9.9,Honda,WRV i-VTEC VX,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2007,262000,12.8,2494,102.0,7.0,4.0,Toyota,Innova 2.5 V Diesel 7-seater,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
2013,62000,19.01,1461,108.45,5.0,7.75,Renault,Duster 110PS Diesel RxZ Pack,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
2012,87615,14.53,1798,138.1,5.0,6.75,Toyota,Corolla Altis G,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2013,72000,11.18,2696,184.0,7.0,12.5,Mahindra,Ssangyong Rexton RX7,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
2010,35000,12.4,2698,179.5,5.0,11.5,Audi,A6 2.7 TDI,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2014,55431,16.09,1598,103.5,5.0,6.98,Volkswagen,Vento 1.6 Highline,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2009,83816,14.0,1061,64.0,5.0,1.85,Maruti,Wagon R LXI BSIII,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2018,50075,24.3,1248,88.5,5.0,8.63,Maruti,Vitara Brezza ZDi Plus,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2017,52000,18.15,1198,82.0,5.0,4.85,Mahindra,KUV 100 mFALCON G80 K6 5str AW,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2013,85000,11.74,2987,254.8,5.0,28.0,Mercedes-Benz,M-Class ML 350 CDI,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
2013,62000,22.07,1199,73.9,5.0,5.0,Volkswagen,Polo Diesel Trendline 1.2L,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2008,90000,19.7,796,46.3,5.0,1.25,Maruti,Alto LXi,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2014,19698,25.4,624,37.5,4.0,1.53,Tata,Nano LX SE,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2017,22033,25.32,1198,77.0,6.0,5.58,Mahindra,KUV 100 mFALCON D75 K8 Dual Tone,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2014,35487,18.5,1197,82.9,5.0,4.74,Hyundai,i20 Magna Optional 1.2,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2014,46374,14.62,1999,149.92,5.0,8.85,Hyundai,Elantra 2.0 SX Option AT,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
2016,52001,14.28,1798,138.03,5.0,10.11,Toyota,Corolla Altis G AT,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2008,58005,14.9,1991,112.2,5.0,4.25,Hyundai,Elantra CRDi,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2012,70704,11.25,2694,163.7,7.0,10.95,Toyota,Innova Crysta 2.7 GX MT,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
2014,75000,24.4,1120,71.0,5.0,3.85,Hyundai,Xcent 1.1 CRDi S,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2012,75800,16.55,2498,105.0,6.0,5.5,Mahindra,Thar CRDe AC,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2015,13648,17.11,1968,174.33,5.0,21.43,Audi,A4 2.0 TDI 177 Bhp Premium Plus,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2014,52000,22.9,1248,74.0,5.0,4.25,Maruti,Swift LDI,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2014,53000,17.8,1248,75.0,5.0,3.3,Maruti,Swift Ldi BSIV,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2013,65650,28.4,1248,74.0,5.0,3.85,Maruti,Swift VDI,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2015,54000,18.9,1197,82.0,5.0,3.6,Hyundai,Grand i10 Sportz,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2015,39000,15.04,1598,103.2,5.0,3.99,Volkswagen,Vento 2013-2015 1.6 Comfortline,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2017,16542,25.17,799,53.3,5.0,3.3,Renault,KWID RXT,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2010,32000,20.36,1197,78.9,5.0,2.07,Hyundai,i10 Asta,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2010,121812,13.29,1995,147.6,5.0,7.75,Nissan,X-Trail SLX AT,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
2010,39300,18.2,998,67.1,5.0,2.25,Maruti,Zen Estilo VXI BSIII,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
2017,22000,13.68,2393,147.8,8.0,16.5,Toyota,Innova Crysta 2.4 GX MT 8S,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2010,72000,20.0,1399,68.0,5.0,2.75,Ford,Figo Diesel Titanium,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
2015,58000,11.74,1796,186.0,5.0,26.7,Mercedes-Benz,New C-Class C 200 CGI Avantgarde,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2011,65000,15.8,2148,170.0,5.0,10.0,Mercedes-Benz,New C-Class 200 CDI Classic,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
2016,178000,25.0,1396,69.0,5.0,2.5,Tata,Indica V2 eLS,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2012,65664,16.55,1968,140.0,5.0,13.5,Audi,A4 2.0 TDI Multitronic,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2007,63000,16.4,1497,78.0,5.0,1.85,Honda,City ZX CVT,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
2016,63000,24.52,1248,88.5,7.0,8.15,Maruti,Ertiga SHVS VDI,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
2018,13000,22.1,1396,88.7,5.0,10.5,Hyundai,Creta 1.4 E Plus Diesel,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2008,73000,8.5,4806,500.0,5.0,14.5,Porsche,Cayenne 2009-2014 Turbo,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2015,55729,15.1,2179,140.0,7.0,9.65,Mahindra,XUV500 W8 4WD,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2012,45178,16.95,1197,78.9,5.0,3.48,Hyundai,i10 Sportz 1.2 AT,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2015,56066,19.64,1461,108.5,5.0,6.92,Nissan,Terrano XV D Pre,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2016,37300,16.5,1198,86.8,5.0,6.46,Honda,Brio VX AT,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2014,56000,18.53,1968,187.74,5.0,29.5,Audi,A6 2.0 TDI Design Edition,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2008,111111,17.8,1399,,5.0,2.0,Ford,Fiesta 1.4 SXi TDCi,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2006,230000,12.4,1998,132.0,8.0,4.5,Toyota,Innova 2.0 G1,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2012,104000,12.8,2494,102.0,7.0,11.75,Toyota,Innova 2.5 VX 7 STR BSIV,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
2012,95100,22.9,1248,74.0,5.0,3.75,Maruti,Swift VDI,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2017,70000,17.57,1193,88.7,5.0,4.5,Tata,Zest Revotron 1.2T XE,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
2016,54944,18.0,1198,86.7,5.0,4.82,Honda,Amaze SX i-VTEC,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2012,70337,20.0,1399,68.0,5.0,2.8,Ford,Figo Diesel ZXI,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
2013,99638,23.2,1248,73.94,5.0,3.11,Maruti,Ritz VDi,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2009,52000,17.8,1497,117.3,5.0,3.25,Honda,City i VTEC E,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2011,75000,16.73,1995,218.0,5.0,13.9,BMW,5 Series 2003-2012 525d,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2009,95980,20.36,1197,78.9,5.0,2.25,Hyundai,i10 Sportz 1.2,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
2016,16000,18.9,1197,82.0,5.0,5.75,Hyundai,Grand i10 Sportz,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
